NAME	DESCRIPTION	MGH-BrCa-H-74_htsqct	MGH-BrCa-H-68_htsqct	MGH-BrCa-H-66_htsqct	MGH-BrCa-H-59_htsqct	MGH-BrCa-H-11_htsqct	HD-5_htsqct	HD-4_htsqct	HD-3-1_htsqct	HD-2-1_htsqct	HD-1_htsqct
RPLP1	RPLP1	650.611573301444	772.149393174182	993.23832918417	399.446009375973	894.774394082351	1220.42122921635	1144.53672151488	1168.63886488243	1275.88472373062	1284.47957176614
TUBGCP4	TUBGCP4	144.580349622543	104.647546025543	47.7846618851491	133.148669791991	118.63175206095	100.325990747234	22.4418965002919	60.0702220266671	58.9403269114688	5.24277376231077
UACA	UACA	32.6471757212194	50.8288080695492	36.6917939475252	50.9931075799114	93.4504839348047	7.61969549978992	0	55.7014786065458	11.556926845386	11.6506083606906
PLCB2	PLCB2	9.32776449177697	26.9093689779966	29.0121161445548	0	14.5491771395504	17.7792894995098	6.12051722735232	50.2405493313943	45.0720146970056	13.3981996147942
ADAM10	ADAM10	150.410202429904	69.5158698598247	79.356670630694	116.150967265354	116.95300085254	35.5585789990196	57.1248274552884	242.465259816729	146.772970936403	57.6705113854185
ZNF280D	ZNF280D	8.16179393030485	33.6367112224958	16.2126531396042	2.83295042110619	24.6216843900084	26.6689342492647	71.4060343191105	40.4108766361215	28.8923171134651	26.7963992295884
RSL24D1	RSL24D1	12.8256761761933	16.4446143754424	30.7187112118816	0	18.4662632925063	64.7674117482143	136.691551410869	46.9639917663034	104.012341608474	269.711583549987
TTLL7	TTLL7	67.6262925653831	111.374888270042	31.5720087455449	59.49195884323	63.2329621834307	6.34974624982493	0	8.73748684024248	18.4910829526177	7.57289543444889
FNBP1L	FNBP1L	46.6388224588849	50.8288080695492	41.8115791495055	76.4896613698672	68.8287995447963	115.565381746814	57.1248274552884	56.7936644615761	62.4074049650846	97.8651102298011
KYAT3	KYAT3	10.4937350532491	9.71727213094323	10.2395704039605	22.6636033688495	15.6683446118235	3.80984774989496	7.14060343191105	25.1202746656971	17.3353902680791	36.1168859181409
GTF2B	GTF2B	41.9749402129964	17.1920968470534	64.8506125584166	39.6613058954867	33.0154404320567	91.436345997479	79.5667239555802	56.7936644615761	45.0720146970056	64.6608764018329
RABGGTB	RABGGTB	0	2.24244741483305	5.97308273564364	0	3.35750241681933	26.6689342492647	9.18077584102849	10.9218585503031	24.2695463753107	30.8741121558301
IFI44L	IFI44L	10.4937350532491	2.24244741483305	0	0	5.59583736136555	6.34974624982493	17.3414654774983	0	9.24554147630884	9.32048668855248
IFI44	IFI44	15.1576172991376	11.9597195457763	11.0928679376239	11.3318016844248	10.6320909865945	35.5585789990196	23.4619827048506	8.73748684024248	27.7366244289265	19.2235037951395
RTCA	RTCA	48.9707635818291	43.353983353439	11.0928679376239	14.164752105531	26.3004355984181	21.5891372494048	25.502155113968	5.46092927515155	4.62277073815442	50.0976159509696
HADHB	HADHB	82.7839098645207	74.7482471611018	119.461654712873	25.4965537899557	87.2950628373026	74.9270057479342	91.8077584102849	97.2045410976976	60.0960195960074	118.25367486101
ADCY3	ADCY3	123.592879516045	59.0511152572704	40.1049840821787	73.656710948761	47.0050338354706	8.8896447497549	3.06025861367616	22.9359029556365	3.46707805361581	4.66024334427624
PPM1B	PPM1B	9.32776449177697	6.72734224449916	10.2395704039605	25.4965537899557	14.5491771395504	3.80984774989496	15.3012930683808	7.64530098521217	8.08984879177023	4.66024334427624
